date,title,content,source,keywords,url,scraped_at
2025/12/19,Base Chain容量升级，目前区块Gas限制已提高至3.75亿Gas/区块,"金色财经报道，Base Build在X平台发文表示，Base Chain已进行容量升级，目前区块Gas限制已提高至3.75亿Gas/区块。随着活动增长，这意味着突发容量提升约25%，平均吞吐量提升约4%至5%。 
此外，Base将最低基础费用从0.0002 gwei提高至0.0005 gwei，以增强链的功能性。在最低基础费用的情况下，一笔典型交易的成本不到一美分（0.01美元）的十分之一。",Jinse,突发,https://www.jinse.cn/lives/492256.html,2025-12-20T11:52:03.832861+00:00
2025/12/19,Ads3完成Animoca Brands战略投资，重塑Web3广告生态,"12月19日消息，Web3智能广告平台Ads3宣布完成新一轮Animoca Brands战略融资。此轮融资将有力驱动Ads3的全球市场布局，并赋能去中心化广告生态的创新与规模化发展。 
此前，Ads3已获得 Web3 Labs、AB Foundation、Footprint Analytics 等多家行业知名机构的支持。本轮融资的完成，进一步体现了头部资本对 Ads3打通 Web2 与 Web3 价值体系、重构广告基础设施愿景的高度认可。 
智能广告系统通过链上链下数据整合，自动匹配用户标签，实现跨生态精准投放。在增长策略上，Ads3 已与多家 主流手机厂商建立独家合作，深度接入移动设备原生广告网络，在 西欧、东南亚、中东 等核心新兴市场，直接触达大规模真实用户。 
这一基础设施级布局，使 Web2 用户能够无缝进入 Web3 生态，同时也通过 OCPC、OCPM 等以效果为导向的数据驱动计费模式，帮助广告主在合规与效率并重的前提下，最大化广告主的投放 ROI。",Jinse,合规,https://www.jinse.cn/lives/492346.html,2025-12-20T11:52:01.63523+00:00
2025/12/18,精选美CFTC代理主席Caroline Pham将加入MoonPay,金色财经报道，美国商品期货交易委员会（CFTC）代理主席Caroline Pham将加入MoonPay，领导其法律和监管战略。,Jinse,监管,https://www.jinse.cn/lives/492036.html,2025-12-20T11:52:01.069398+00:00
2025/12/18,精选Coinbase宣布即将推出机构级资产上链平台“Coinbase Tokenize”,"金色财经报道，Coinbase于X平台发文称，即将推出Coinbase Tokenize —— 一个面向机构的一站式平台，帮助资产实现上链。该平台有以下特点： 
全额支持（Fully backed） 
透明且安全 
符合监管要求",Jinse,监管,https://www.jinse.cn/lives/492046.html,2025-12-20T11:52:00.488197+00:00
2025/12/18,印度监管机构批准Coinbase收购CoinDCX的少数股权,"金色财经报道，印度竞争委员会宣布已批准Coinbase收购DCX Global Limited（加密平台CoinDCX背后的公司）的少数股权。 
随后Coinbase首席法务官Paul Grewal在X帖子中证实了这一消息。无论是监管公告还是Grewal的帖子，均未提及Coinbase在该加密交易所中所占股权比例。 
此前，10月曾有公告称，Coinbase计划对CoinDCX进行投资，投资后CoinDCX的估值约为24亿美元。Coinbase当时报告称，截至7月，CoinDCX的年收入约为1.41亿美元，但否认了此前有关其计划以10亿美元全资收购该公司的报道。",Jinse,监管,https://www.jinse.cn/lives/492050.html,2025-12-20T11:51:59.938998+00:00
2025/12/18,Jito 基金会拟重返美国,"12月18日消息，据市场消息，助力 Jito 平台发展的非营利组织 Jito 基金会称，将重返美国。 
Jito Labs 联合创始人兼 CEO Lucas Bruder 表示，在 “Operation Chokepoint 2”期间，加密货币行业遭银行断绝服务，Jito 基金会被迫海外运营。他指出：“银行不为我们提供服务，供应商不与我们签订合同。每一项产品决策都面临着来自敌对且反复无常的监管机构的真实但难以量化的法律风险，这些监管机构已肆意妄为。”他还提到，GENIUS 稳定币法案的通过及正在制定的加密市场结构法案，是 Jito 基金会决定重返美国的原因。",Jinse,监管,https://www.jinse.cn/lives/492051.html,2025-12-20T11:51:59.364684+00:00
2025/12/18,精选美SEC专员就国家证券交易所交易加密资产相关问题，向市场征求意见,"金色财经报道，美SEC专员Hester Peirce于12月17日发布声明，配合交易与市场部最新发布的一组FAQ，就国家证券交易所（NSE）和另类交易系统（ATS）交易加密资产相关问题，向市场广泛征求意见。 
声明重点聚焦加密资产证券及“证券—非证券加密资产”交易对的交易与清算安排。Peirce表示，SEC工作人员已准备与市场参与者合作，推动在受监管平台上开展合规的交易对交易。 
Peirce指出，当前市场亟需更清晰的市场结构规则，以在保护投资者和维护市场秩序的同时，避免对创新施加不必要的监管负担。她特别关注Regulation ATS（1998年出台）和Regulation NMS在加密资产和区块链技术背景下是否已显滞后。征求意见的核心议题包括： 
·如何降低加密资产证券及交易对平台的准入门槛、鼓励创新 
·现行Reg NMS与Reg ATS是否对加密交易构成不成比例的合规成本 
·是否需要为“加密ATS”设立专门的Form ATS或调整现有披露制度 
·加密ATS的信息披露是否应继续非公开，还是引入SEC审核或公开机制 
·在区块链和链上数据可追溯背景下，是否有必要保留Form ATS-R季度报送要求 
·是否需要明确非美元资产换算美元的合规方法 
·如何处理交易信息保密、系统风控（Rule 15c3-5）及系统合规（Reg SCI）等要求 
·如何在监管中避免阻碍个人开发软件、使用自动化或去中心化方式进行交易 
Peirce强调，这些问题将作为SEC加密工作组后续政策制定的重要参考，监管机构也愿意听取更广泛的建议，以整体改善NSE与ATS的监管框架。该声明被市场视为SEC内部对加密资产交易市场结构改革持相对开放态度的又一信号。",Jinse,"监管, 合规, 风控",https://www.jinse.cn/lives/492054.html,2025-12-20T11:51:58.813651+00:00
2025/12/18,Silvergate银行诉讼案呼吁FTX和Alameda投资者提交索赔,"12月18日消息，美国加密友好型银行Silvergate的一起集体诉讼正在呼吁与FTX或Alameda Research有账户关联的投资者提交索赔。该诉讼涉及1000万美元的和解金，解决了""Silvergate银行、Silvergate Capital Corporation和Alan J. Lane是否协助并教唆FTX、Alameda和Sam Bankman-Fried的侵权行为""的指控。 
根据法院文件，有意参与和解的投资者必须在2024年1月30日前提交索赔或选择退出。法官Ruth Bermudez Montenegro已安排于2月9日举行最终听证会。FTX破产案已通过邮件联系了超过46,000名潜在索赔人，他们可能获得按比例分配的和解金。 
Silvergate曾是美国少数几家与2022年11月崩溃的FTX交易所有业务往来的加密友好型银行之一，该银行于2023年3月自愿结束运营。",Jinse,破产,https://www.jinse.cn/lives/492057.html,2025-12-20T11:51:58.265451+00:00
2025/12/18,QCP：美联储政策趋平，AI投资与加密货币面临结构性挑战,"金色财经报道，QCP发布简报表示，美联储最新FOMC会议释放谨慎信号，政策路径明显趋平，市场预期明年约有2.3次降息。政策维持""数据依赖""，目标在于稳定劳动力市场同时控制通胀。美联储400亿美元国债购买计划已使回购利率下降25个基点至4%，缓解了部分资金压力。 
同时，AI领域投资与收益不匹配问题日益凸显。尽管资本持续流入AI基础设施，但收入增长滞后，若无法实现收益转化，可能引发更广泛的股市估值调整。 
加密货币市场则面临新的结构性风险，MSCI正在评估将持有超过50%加密货币敞口的公司排除出指数，可能导致高达28亿美元的被动资金流出。虽然日本等地区监管环境逐渐改善，但市场韧性与脆弱性的平衡依然微妙。",Jinse,监管,https://www.jinse.cn/lives/492080.html,2025-12-20T11:51:57.721257+00:00
2025/12/18,Invesco与Galaxy合作推出Solana ETP,"金色财经报道，Invesco Ltd.（NYSE: IVZ）与Galaxy Asset Management（Nasdaq: GLXY）今日宣布推出Invesco Galaxy Solana ETP（QSOL），为投资者提供通过受监管ETP结构直接接触Solana（SOL）的机会。该产品将在Cboe BZX交易所上市，通过追踪Lukka Prime Solana Reference Rate来反映SOL的现货价格。 
QSOL将由Coinbase Custody Trust Company提供机构级存储支持，并通过Galaxy Digital Infrastructure进行SOL质押以产生额外收益。",Jinse,监管,https://www.jinse.cn/lives/492081.html,2025-12-20T11:51:57.174736+00:00
